epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,9421.88,1.36587,0.72934,0.93282,0.82317,0.69743,0.75865,0.43017,1.4616,0.7468,0.94629,0.000359,0.000359,0.000359
74,9548.01,1.35302,0.72355,0.93565,0.82276,0.69209,0.75522,0.42578,1.46559,0.73923,0.94622,0.000346625,0.000346625,0.000346625
75,9679.05,1.35211,0.72183,0.92827,0.81996,0.69073,0.75848,0.42988,1.46806,0.74339,0.94556,0.00033425,0.00033425,0.00033425
76,9811.32,1.33943,0.71961,0.92642,0.8232,0.68463,0.75959,0.43642,1.44355,0.73848,0.94196,0.000321875,0.000321875,0.000321875
77,9943.31,1.33974,0.71155,0.92724,0.86501,0.68381,0.75789,0.43581,1.43338,0.73236,0.94259,0.0003095,0.0003095,0.0003095
78,10073.8,1.32751,0.69937,0.92738,0.85035,0.68479,0.75919,0.43679,1.4361,0.72794,0.9406,0.000297125,0.000297125,0.000297125
79,10205.5,1.33498,0.70771,0.92515,0.84589,0.68129,0.75765,0.43819,1.43559,0.73487,0.94214,0.00028475,0.00028475,0.00028475
80,10336.4,1.30781,0.69264,0.91997,0.81207,0.68302,0.75165,0.43324,1.44945,0.7304,0.94319,0.000272375,0.000272375,0.000272375
81,10467.4,1.31984,0.70169,0.92162,0.81699,0.70064,0.76023,0.4389,1.43355,0.71965,0.93898,0.00026,0.00026,0.00026
82,10599.4,1.31134,0.69499,0.92253,0.83107,0.6989,0.76251,0.44316,1.42643,0.71454,0.94059,0.000247625,0.000247625,0.000247625
83,10730.2,1.30506,0.68376,0.91985,0.81928,0.69371,0.7627,0.44591,1.43093,0.72492,0.94411,0.00023525,0.00023525,0.00023525
84,10861.7,1.29688,0.69155,0.91943,0.8444,0.70474,0.76733,0.44182,1.43681,0.72587,0.94144,0.000222875,0.000222875,0.000222875
85,10992.8,1.29478,0.68128,0.91761,0.83629,0.6972,0.76366,0.44579,1.41735,0.72253,0.94423,0.0002105,0.0002105,0.0002105
86,11123,1.27638,0.66845,0.9115,0.82096,0.70751,0.76517,0.43895,1.44419,0.71596,0.94156,0.000198125,0.000198125,0.000198125
87,11253.7,1.28973,0.68071,0.91569,0.83228,0.70832,0.7692,0.4403,1.44132,0.72221,0.93972,0.00018575,0.00018575,0.00018575
88,11384.6,1.26595,0.6703,0.91282,0.82796,0.70324,0.76507,0.44563,1.41792,0.71249,0.9382,0.000173375,0.000173375,0.000173375
89,11516.7,1.26945,0.66345,0.90979,0.83073,0.71287,0.7693,0.44984,1.4178,0.71483,0.93695,0.000161,0.000161,0.000161
90,11647.7,1.26133,0.66403,0.90996,0.82983,0.71478,0.77452,0.44753,1.42979,0.71382,0.93849,0.000148625,0.000148625,0.000148625
91,11776.3,1.16713,0.59077,0.88695,0.83496,0.70972,0.76768,0.44269,1.44743,0.71881,0.94593,0.00013625,0.00013625,0.00013625
92,11901.4,1.15651,0.59163,0.88029,0.82436,0.70852,0.76642,0.44487,1.43292,0.71816,0.94327,0.000123875,0.000123875,0.000123875
93,12018.1,1.16034,0.58133,0.8846,0.83444,0.7208,0.77035,0.44713,1.43783,0.71114,0.94163,0.0001115,0.0001115,0.0001115
94,12130.2,1.14145,0.57808,0.87992,0.83712,0.71317,0.76867,0.44982,1.4244,0.70837,0.94054,9.9125e-05,9.9125e-05,9.9125e-05
95,12242.2,1.14392,0.57334,0.88093,0.84988,0.70815,0.76882,0.44798,1.42964,0.7084,0.93966,8.675e-05,8.675e-05,8.675e-05
96,12354.2,1.13526,0.57573,0.8807,0.8248,0.71868,0.76855,0.45098,1.41458,0.70314,0.93848,7.4375e-05,7.4375e-05,7.4375e-05
97,12466.5,1.13411,0.57061,0.88064,0.85066,0.70919,0.77042,0.4524,1.41537,0.70489,0.93853,6.2e-05,6.2e-05,6.2e-05
98,12578.2,1.12471,0.56868,0.87812,0.84002,0.712,0.76889,0.45054,1.41833,0.70172,0.93889,4.9625e-05,4.9625e-05,4.9625e-05
99,12690.4,1.12312,0.56443,0.87826,0.84085,0.7145,0.76882,0.45223,1.41451,0.70088,0.93886,3.725e-05,3.725e-05,3.725e-05
100,12802.4,1.12666,0.56143,0.8739,0.84073,0.71134,0.77098,0.45213,1.41914,0.69942,0.93895,2.4875e-05,2.4875e-05,2.4875e-05
